sno,Resumes,JD,Result
1,JOHANN BACH FrontEnd Developer Portland OR LinkedIn CAREER OBJECTIVE FrontEnd Developer with proven experience at Zillow and HubSpot in helping companies create and maintain a better code base for reusability Passionate about learning and development with a desire to apply skills on a larger development team at Redfin Eager to tackle more complex problems and continue to find ways to maximize user efficiency WORK EXPERIENCE FrontEnd Developer HubSpot May June Remote Developed membership event and legal platform technology solutions and automated internal processes Generated 50K in annual ad revenue as a system administrator of a large network of websites Designed and implemented web applications along with 3rd party software integrations as a web team liaison for all inter departmental and customerfacing projects Developed a nodejs server to validate membership and track digital badges being used saving the company 225K Mentored 6 team members enabling them to achieve professional growth and personal goals Software Engineer I Zillow July March Portland OR Developed real estate valuation analytics and platform technology solutions as part of a 5person team Designed and developed Zestimate which manages a volume of 600k valuations per month Reduced average valuation review time by 46 and saved service providers an average of 84 due to clickfee reductions Rebuilt 4yearold SaaS application in React 15 and Redux with full user experience redesign to release a beta MVP in 8 months Integrated an automated property valuation model fed by machine learning Python data EDUCATION Bachelor of Science Computer Science University of Oregon Eugene OR SKILLS Languages HTML CSS JavaScript Python Libraries React jQuery Redux Frameworks Angularjs Nodejs Testing Jest,FrontEnd Developer Job Description We are looking to add a FrontEnd Developer to our CITechnology Team The FrontEnd Developer will be an integral part of a growing technology team responsible for the development of user interfaces and user experiences across multiple web applications The FrontEnd Developer will report to the CIT Development Manager Responsibilities Include UIUXFrontEnd development and design UI web services integration Participation in SCRUM sessions and product reviews Follow preferred development methodologies and adhere to development standards Documentation FrontEnd Developer Skills and Requirements Strong proficiency with HTML JavaScript CSS Sass and Bootstrap Strong proficiency with responsive web design Strong proficiency with modern JavaScript frameworks including AngularJS and JQuery Strong proficiency with web services integration REST AJAX Ability to work with a team of developers communicating professionally and effectively Ability to work individually and meet assigned deadlines Ability to consistently learn and apply new technologies Experience with version control systems Git preferred Experience with build and dependency management tools preferred Bower Grunt Associate Degree in Computer Science or related field Bachelors degree Preferred 13 years progressive development experience Demonstrable working Web Portfolio Entry level candidates with strong academic performance and without a working Web Portfolio may be considered Salary DOE,1
2,ALEKS LUDKEE FullStack Developer Nashville TN LinkedIn Github WORK EXPERIENCE FullStack Developer Deloitte August current Nashville TN Designed developed and modified 25 software systems and custom components Developed 30 new software solutions by analyzing system performance standards Analyzed systems flow data usage and work processes investigated of problem areas Integrated existing software into 13 upgraded modified systems for higher performance Developed and executed test procedures for software components Analyzed 30 user requirements to derive technical software design and performance requirements Planned tracked and managed deliverables on shortterm sprints and 50 longterm deployments Jr FullStack Developer Randstad Technologies June August Nashville TN Developed code following common security practices and development design patterns Wrote unit tests to verify the functionality of user interfaces backend processing connectivity and relational database interactions Maintained 8 systems and applications as Tier 2 support breakfix and data changes Documented of technical specifications and dependencies of applications Participated in the planning and execution of 10 business continuitydisaster recovery exercises Implemented 25 system and application designs EDUCATION BS Computer Science University of Tennessee September June Knoxville TN SKILLS JavaScript HTML CSS NET Reactjs Angularjs Nodejs Rest APIs Spring SOAP ScrumAgile CERTIFICATIONS MTA AWS,Full stack Developer job description Job description Deveryware is a French company a reference in France in emergency services and security projects for public administration collaborating with the UPM in research projects within the EU Research Framework Programme such as the Nexes project which aims at defining the next generation of emergency services for the population In the context of this collaboration we are looking for a developer willing to participate in the creation and implementation of tools for the GHALE platform which implements the Pan European Mobile Emergency App PEMEA standard for interconnecting European emergency centers The candidate will join an agile team with a DNA of research and integration of the latest technologies working in a complete and advanced DEVOPS environment always seeking the highest quality in the generated products Duration 1 year renewable contract Remuneration 25K35K per year fulltime according to value and experience provided Location UPM Campus de Montegancedo CAIT Job responsibilities The role is responsible for designing coding and modifying web apps from layout to function and according to the specifications Integrating data from various backend services and databases Job Duties Candidate must have a strong understanding of UI crossbrowser compatibility general web functions and standards The position requires constant communication with colleagues Experience in working with distributed environments Deep expertise and hands on experience with Web Applications and programming languages such as HTML CSS JavaScript JQuery and APIs Deep functional knowledge or hands on design experience with Web Services REST is needed to be successful in this position Skills Proven working experience 2 years in some of Nodejs Angular Native hybrid or progressive web apps Javascript GIT Familiarity with JAVA MongoDB MySQLPostgresSQL Docker Valuable skills Kubernetes AWS English French If you are such candidate we would be thrilled to hear from you Apply now Should you be interested in this position please apply by sending your CV and a cover letter to including in the subject line the reference FULL STACK DEVELOPER POSITION By replying to this advertisement or sending your CV andor other personal data you are agreeing to having your data saved and managed by employees of both Deveryware and UPM for possible future reference in full accordance with the law,1
3,Madalin Auton IOS Developer Louisville KY Education Bachelor of Science in Computer Science with a focus on iOS Development at University of Louisville KY Sep May Relevant Coursework ObjectOriented Programming Concepts iOS Development Computer Architecture Data Structures and Algorithms Links linkedincominmadalinauton Skills Swift ObjectiveC Xcode Cocoa Touch UIUX Design RESTful APIs Apple Human Interface Guidelines Languages English Hindi Hobbies Programming Profile I am an iOS Developer with over 1 year of experience in designing and developing mobile applications for Apple devices I have extensive experience in developing coding and testing iOS applications using the latest technologies I am highly proficient in Swift ObjectiveC and Cocoa Touch and I have gained valuable knowledge of the latest Apple development tools such as Xcode and Instruments My work has resulted in the successful launch of several iOS applications including two that have been featured in the App Store Additionally I have experience in developing web services for the iOS platform and integrating thirdparty APIs I am a motivated and detailoriented professional who is committed to producing highquality applications Employment History Senior IOS Developer at Apple Inc KY Jan Present Achieved a 20 improvement in App Store ratings for Apple Inc KYs suite of IOS apps leading to increased customer engagement and a 25 growth in customer downloads over a 6month period Enhanced the UIUX design of Apple Inc KYs IOS apps resulting in an 8 increase in user satisfaction and a 10 increase in user retention rates Developed a proprietary IOS SDK to facilitate the integration of thirdparty services into Apple Inc KYs apps cutting development time by 30 and increasing the speed of feature deployment by 25 Collaborated with the engineering team to identify and resolve bugs in the IOS codebase reducing crash rates by 50 and improving the overall stability of Apple Inc KYs apps IOS Developer at Bluegrass Digital Solutions LLC KY Jul Dec Developed an IOS application for Bluegrass Digital Solutions LLC KY that was downloaded by over users in the first month resulting in a 20 increase in revenue Created an IOS app that enabled customers to make purchases directly from their phones which resulted in a 10 increase in customer satisfaction Optimized the user experience of an existing IOS app resulting in a 15 decrease in customer complaints Developed an IOS app that integrated with a thirdparty API and was released on the App Store within two months resulting in a 25 increase in user engagement Certificates Apple Certified iOS Developer Aug Apple Certified Mac Technician ACMT Jan Memberships,Job Description SoftwareAI Engineer Overview Advanced Technologies and Services Inc is a 25yearold company working in the communications and utility space Our clients include the largest companies in the world and we are seeking a person with management level potential to help us grow our AI and data analytics practice Our candidate must be energetic curious and intelligent and must possess a burning desire to please our customers This position provides a unique opportunity to deploy the most advanced cloudbased tools and technologies to our client base Our candidate will have tremendous leeway in coming up with innovative solutions for our clients This is a unique opportunity for personal growth and development Primary responsibilities Work with the COO and members of our technical staff to develop and build new technologies approaches designs and products for existing and new clients Develop and run data base queries Develop and run software code andor scripts that satisfy customer driven requirements or internal company driven needs Function in a teambased work environment or individually as required Develop tools andor utilize commercially available tools to mine customer data and identify trends Develop AI tools to analyze and trend customer data Actively seek out anomalies in customer data and identify root cause of outliers Document and install new application software through a standard Change Management process Project manage and QA all assigned work Client support Provide technical support to clients using all ATS applications Research and resolve problems escalated by the customer or ATS team members Technical Skills required SQLBig query Python Linux Machine learning tools EG Prophet tensor flow Google CloudAmazon AWS Mandatory traits all are necessary Excellent communication skills Natural curiosity Good lazy lets do things once Love of new technology and tools Desire to create value Ability to innovate Passion for work Love of detail Experience 23 years experience in data analytics andor AI Measure of success Contract renewals New revenue opportunities identified Client feedback The degree to which the COO can delegate and leave this position alone End to end responsibility for successful project implementation Ability and desire to learn and apply new technologies Job Location Wyckoff New Jersey Applicant must live in NY metropolitan area Travel requirements This job may require periodic travel to visit customer sites support installation functions and in working with various operations and sales support activities Compensation This position is compensated on a base salary and performancebased bonus Company offers Medical Dental and 401k Reporting This position reports to the COO Miscellaneous Candidate must be a US citizen,0
4,YOUR NAME Phone Email Location City State ZIP Online PortfolioProfessional Website Optional PROFESSIONAL SUMMARY 23 sentences or 23 bullet points that include your years of professional experience accomplishments top skills and strengths as they relate to the position and what youre looking for in your next role EXPERIENCE Title Start Date End Date Current Company Name Location Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Title Start Date End Date Company Name Location Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Title Start Date End Date Company Name Location Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results Action verb what you did more detail reason outcome or quantified results SKILLS Relevant skill Relevant skill Relevant skill Relevant skill Relevant skill EDUCATION Degree Type Major if applicable MonthYear of Completion Institution Name CERTIFICATIONS Certification Certifying organization Year earned AWARDSRECOGNITIONSVOLUNTEER WORK OPTIONAL Award recognition or volunteer work Date Award recognition or volunteer work Date,Full stack Developer job description Job description Deveryware is a French company a reference in France in emergency services and security projects for public administration collaborating with the UPM in research projects within the EU Research Framework Programme such as the Nexes project which aims at defining the next generation of emergency services for the population In the context of this collaboration we are looking for a developer willing to participate in the creation and implementation of tools for the GHALE platform which implements the Pan European Mobile Emergency App PEMEA standard for interconnecting European emergency centers The candidate will join an agile team with a DNA of research and integration of the latest technologies working in a complete and advanced DEVOPS environment always seeking the highest quality in the generated products Duration 1 year renewable contract Remuneration 25K35K per year fulltime according to value and experience provided Location UPM Campus de Montegancedo CAIT Job responsibilities The role is responsible for designing coding and modifying web apps from layout to function and according to the specifications Integrating data from various backend services and databases Job Duties Candidate must have a strong understanding of UI crossbrowser compatibility general web functions and standards The position requires constant communication with colleagues Experience in working with distributed environments Deep expertise and hands on experience with Web Applications and programming languages such as HTML CSS JavaScript JQuery and APIs Deep functional knowledge or hands on design experience with Web Services REST is needed to be successful in this position Skills Proven working experience 2 years in some of Nodejs Angular Native hybrid or progressive web apps Javascript GIT Familiarity with JAVA MongoDB MySQLPostgresSQL Docker Valuable skills Kubernetes AWS English French If you are such candidate we would be thrilled to hear from you Apply now Should you be interested in this position please apply by sending your CV and a cover letter to including in the subject line the reference FULL STACK DEVELOPER POSITION By replying to this advertisement or sending your CV andor other personal data you are agreeing to having your data saved and managed by employees of both Deveryware and UPM for possible future reference in full accordance with the law,0
5,Karen Santos Senior FrontEnd Developer Brooklyn NY LinkedIn WORK EXPERIENCE GitHub Senior FrontEnd Developer January current New York NY Led development team of 5 persons to create GitHub pages which allows all new and existing customers to have their repositories hosted Implemented AWS to allow easy iteration in company cloud infrastructure Created new documentation for MaterialUI that prevented the need for a 3week onboarding course Mentored 8 new junior frontend developers on team in expanding JavaScript React and Angular skillset Worked with PMIM to keep on track with the project plan timeline and billing On average this saved 4 days of communication per project Led biweekly standup to ensure team worked effectively using coaching strategies to increase efficiency by 10 Worked with Quality Assurance to get new pagesproducts tested and addressed any issues within 48 hours DTX FrontEnd Developer September Jan New York NY Participated in the initial wave of developers learning and implementing the ReactJS library Rewrote HTML to meet industry and company standards for SEO and Accessibility This drove a increase in users by appearing on the first page of Google search results Tested debugged and shipped 10s of 1000s of lines of code to various development teams This lead to bugfree deployment Introduced Kanban Board style ticketing system to promote highly efficient asynchronous and synchronous work increasing efficiency by 12 Utilized HTML CSS and JavaScript to create responsive landing pages for both company and client Maintained graphic standards and branding throughout the products interfaces EDUCATION Rutgers University Bachelor of Science Computer Science New Brunswick NJ SKILLS HTML CSS JavaScript React jQuery Angularjs Vuejs Enyzme Jest GIT,FrontEnd Developer Job Description We are looking to add a FrontEnd Developer to our CITechnology Team The FrontEnd Developer will be an integral part of a growing technology team responsible for the development of user interfaces and user experiences across multiple web applications The FrontEnd Developer will report to the CIT Development Manager Responsibilities Include UIUXFrontEnd development and design UI web services integration Participation in SCRUM sessions and product reviews Follow preferred development methodologies and adhere to development standards Documentation FrontEnd Developer Skills and Requirements Strong proficiency with HTML JavaScript CSS Sass and Bootstrap Strong proficiency with responsive web design Strong proficiency with modern JavaScript frameworks including AngularJS and JQuery Strong proficiency with web services integration REST AJAX Ability to work with a team of developers communicating professionally and effectively Ability to work individually and meet assigned deadlines Ability to consistently learn and apply new technologies Experience with version control systems Git preferred Experience with build and dependency management tools preferred Bower Grunt Associate Degree in Computer Science or related field Bachelors degree Preferred 13 years progressive development experience Demonstrable working Web Portfolio Entry level candidates with strong academic performance and without a working Web Portfolio may be considered Salary DOE,1
6,CYNTHIA DWAYNE Software Developer CONTACT Brooklyn NY LinkedIn Github CAREER OBJECTIVE Throughout my 7yearplus career as a software developer I have focused on developing scalable and welldocumented code I enjoy working collaboratively but can also run with projects independently Excited about the prospect of joining a productdriven company like Acme Corp EDUCATION Bachelor of Science Computer Science University of Delaware August May Newark DE SKILLS Python Django SQL PostgreSQL MySQL Cloud GCP AWS JavaScript ES6 React Redux Nodejs Typescript HTML CSS CICD WORK EXPERIENCE Software Developer QuickBooks January current New York NY Worked on the payments team to save time and improve cash flow for over 50 through the development of modern responsive customer experiences Led the migration from AWS to GCP for the team to reduce cloud costs by per year Worked closely with the product team to reconfigure the processing of invoices saving customers over manual hours of work per month Mentored 3 junior frontend developers on the team on React and documented best practices within the organization FrontEnd Developer AMR January December New York NY Contributed to the inhouse UI library to create reusable components that saved hours of development per month Created a web app MVP for a store delivery management platform with business customers to create manage and monitor deliveries using React and Redux Added features to meditation app with 5 monthly users enabling audio and video uploads using React and Redux Improved customer conversion rate by 17 through AB testing of different components and combinations representing in incremental annual revenue Help Desk Analyst Kelly June January New York NY Diagnosed technical issues for 30 clients per day by phone email and chat solving issues within 15 minutes on average Successfully reached solutions for 92 of computer errors and escalated more complex tickets to higher tiers to assist clients as quickly as possible Created user accounts for 50 clients per week and assisted them with setting up and customizing their accounts Created and updated documentation as needed concerning network software and hardware problems,Job Description for Software Developer Title Software Developer Reports To Development Manager Summary of position The Software Developer will be part of the development team which will have the responsibility for supporting and enhancing SalesLogix Relius Crystal Reports and home built custom applications using Microsoft NET technology Utilizing a Software Development Life Cycle the Software developer will work with technical and nontechnical associated in defining business and technical requirements to develop new functions or redesignconsolidate existing processes Duties and Responsibility This position will be mainly responsible for following 1 Work with team in building web services and web based applications using NET 40 technologies eg WCF WF and ASPNET 2 Day to day maintenance and support of all existing applications in use at Sentinel 3 Build new crystal reports and enhance existing ones as requested by internal business groups Further enhance other reporting technologies to improve performance and scalability of user demand 4 Fill in where needed on the development side to ensure daily operations at Sentinel run smooth without any interruption 5 Work with Silverlight AJAX similar technology developing an centralized business dashboard Qualifications The ideal candidate for the position will have experience and expertise in following areas 1 Two to four years of experience in Net development using C VBNET ASPNET Experience in building WCF services and Windows WorkFlow based applications is a big plus 2 Proficiency in SQL development mainly on Microsoft SQL database platform 3 Working knowledge of PLSQL and development in Oracle databases 4 Proficiency in Silverlight AJAX MVC JQuery XML HTML CSS and JavaScript 5 Complete understanding of application development life cycle 6 Experience working with source control systems like VSS and TFS 7 Ability to accurately collect requirements and estimating the efforts involved 8 Ability to independently work on projects and finish them within time and budget,1
7,CHARLES MCTURLAND SOFTWARE ENGINEER CONTACT New York NY LinkedIn EDUCATION BS Computer Science University of Pittsburgh September April Pittsburgh PA SKILLS Python Django Javascript NodeJS ReactJS jQuery SQL MySQL PostgreSQL NoSQL HTML5CSS AWS Unix Git WORK EXPERIENCE Software Engineer Embark January current New York NY Worked with product managers to rearchitect a multipage web app into a single page webapp boosting yearly revenue by 14M Constructed the logic for a streamlined adserving platform that scaled to our 35M users which improved the page speed by 15 after implementation Tested software for bugs and operating speed fixing bugs and documenting processes to increase efficiency by 18 Iterated platform for college admissions collaborating with a group of 4 engineers to create features across the software Software Engineer MarketSmart April January Washington DC Built RESTful APIs that served data to the JavaScript frontend based on dynamically chosen user inputs that handled over concurrent users Built internal tool using NodeJS and Pupeteerjs to automate QA and monitoring of donorfacing web app which improved CTR by 3 Reviewed code and conducted testing for 3 additional features on donorfacing web app that increased contributions by 12 Software Engineer Intern Marketing Science Company April March Pittsburgh PA Partnered with a developer to implement RESTful APIs in Django enabling analytics team to increase reporting speed by 24 Using Selenium I built out a unit testing infrastructure for a client application that reduced the number of bugs reported by the client by 11 month over month PROJECTS Poker Simulation Built a fullstack web app to allow users to simulate and visualize outcomes of poker hands against opponents of different play styles using open source cardsjs on the frontend Utilized scikit learn in Python to simulate possible outcomes under different scenarios that the user chose,UX Designer Job Description Template Job Overview We are in search of a UX Designer who possesses the ability to craft the best possible user experience when a user interacts with a product or service You would be required to empathise with the consumer in order to bring out a creative solution right from the initial stage and translate research into wireframes and prototypes The responsibilities would include understanding the functionality of coding and converting brand strengths into user interface You should also be able to improve the efficiency of the product and improve customer satisfaction thereby generating profits Job Responsibilities for UX Designer As a UX Designer you will be required to build intuitive and simple user experiences This experience is one of the most indemand and creative jobs so far As a UX designer you must possess strong technical creative and critical thinking skills You will be required to combine the digital aspects such as computer science as well as the understanding aspects such as research psychology and storytelling You should also be able to work in a team and bring abstract ideas to life Designing various mockups wireframes prototypes and interfaces to make a users life easier Consulting users and clients to understand their goals and needs Enhancing user experience by crafting a product or service that fits into the customer journey Testing user experiences and troubleshooting any UX problems Building storyboards to easily conceptualize ideas to senior managers and various teams Creating surveys for research in order to understand ease of use while working on various platforms Ensuring standardisation is maintained with fontcolour image and style for consistency Defining various workflows UI specifications and interaction models Assisting with content development Conducting competitor and customer analysis UX Designer Salaries A person working as a UX Designer earns USD on average per year The exact salary is however dependent on the company location and nature of the employers business UX Designer Job Qualifications The basic qualifications required to be considered for the position of a UX Designer include Either a Bachelors degree in Interaction Design Fine Arts Human Computer Interaction Computer Science or related field or experience in the industry or both Master degree in a similar discipline preferred Prior demonstrated experience of at least 3 to 5 years in UX experience for multiple devices Strong portfolio of related projects Experience with complex enterprise applications UX Designer Skills Required A UX Designer needs to possess a variety of skills in order to be successful in the work environment they include both job related technical skills as well as interpersonal traits Proficiency in Adobe Illustrator Photoshop UXPin Invision Sketch Quartz and Balsamiq Knowledge and expertise in HTML CSS JavaScript JQuery Understand and knowledge of UX standard Work in crossfunctional teams to understand product vision Excellent IT and programming skills Passionate to follow UX industry trends Experience to design in international languages and complex product requirements Accuracy and attention to detail Ability to test usability and accessibility concern Knowledge of the various industry practices Knowledge of Human Computer Interaction Element Design Keen eye for detail Meticulous and diligent attributes Good understanding of end user requirements Ability to with professionalism and integrity Excellent people and managerial skills Excellent communication and interpersonal skills Ability to organise projects well and efficiently plan milestones What to expect as a UX Designer To be a UX Designer you must be able to work with various groups and departments to create a harmonious approach to design Hands on experience with userfriendly and simple concept of products Opportunity to manage time and multitask efficiently Exposure to the design industry and its practices Hands on experience with wireframes storyboard process flows and sitemaps Work and collaborate with various departments and in a team Expert advice from professionals in the field and industry,0
8,"UI / UX Designer
Overhauled the website's design, layout, and overall User Experience (UX) of 140+ company products.
Designed wireframes and visual compositions of a process flow UI Developer 
Designed 200+ interactive User Interface applications using HTML5, CSS3, NodeJS, jQuery, AJAX, and
JSON. Developed reusable UI components with React and styled-components, boosting scalability and reusability Hard Skills: UX Writing (Advanced), Coding (Experienced), UI Prototyping, Wireframing, Debugging, UX Design
Techniques: Sketch, Command Line, UX Research, Interaction Design, Visual Communication, Usability Design","1 Write well-designed, testable, efficient code by using best software development practices.

2 Create website layout/user interface by using standard HTML/CSS practices.
3 Integrate data from various back-end services and databases.
4 Gather and refine specifications and requirements based on technical needs.
Role: Web Designer
Industry Type: Travel & Tourism
Department: UX, Design & Architecture
Employment Type: Full Time, Permanent
Role Category: Other Design
Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Graphic design
Strong expertise in HTML5 and CSS3",0
9,"Organized and enthusiastic Web Designer with five years of experience creating and maintaining functional, eye-catching websites. Proven record of collaborating with team members and clients effectively. In a previous role, utilized SEO optimization techniques to boost website traffic by 200%.
Education
Westblue College of Chicago
Bachelor of Fine Arts, graphic design
Experience
Gold Mile Marketing Group | Chicago, IL, Lead Web Designer
May 2020–Current
Develop custom web design solutions based on clients' needs and desires while maintaining usability and functionality requirements
Perform ongoing maintenance of over 35 client websites, including necessary updates and troubleshooting tasks
Lead high-profile website redesign, overhauling UX design elements and raising the site's UX score by 40%
Mentor four Junior Web Designers and offer feedback, helping them meet 97% of their quarterly goals
Report on project progress to Project Manager and implement client recommendations during project timelines
Riverview Digital Group | Chicago, IL, Freelance Web Designer
May 2018–April 2020
Coordinated and collaborated with over 20 clients throughout the web development process, from concept to launch
Used design software to create eye-catching and informative graphics and logo designs for web pages
Utilized SEO optimization techniques to drive web traffic, resulting in a 200% increase in visitors
Certifications
Adobe Certified Expert, Adobe - 2023
Skills
Communication
Self-motivation
Attention to detail
HTML, JavaScript and CSS proficiency
SEO
UX/UI design practices","Candidate should have an excellent knowledge in Photoshop, HTML, CSS, and basic java script. Creativity and Design Strengths will be the benchmarks with which the candidate will be selected. Software skills should include Adobe Photoshop and Dreamweaver.




1/2 to 1 Years of experience.

Knowledge in Photoshop, HTML5, Bootstrap CSS and basic java script.

Adobe Photoshop and Dreamweaver.


Role: Web Designer
Industry Type: IT Services & Consulting
Department: UX, Design & Architecture
Employment Type: Full Time, Permanent
Role Category: Other Design
Education
UG: Diploma in Graphic/ Web Designing
PG: Post Graduation Not Required
Key Skills
skillshtml cssdreamweaverbeadobe photoshopjava scriptbasiccreativityweb designerknowledge",1
10,"Results-driven senior web developer with a passion for creating cutting-edge web applications. Skilled in front-end and back-end development, collaborating with cross-functional teams and successfully completing projects.
Education
Master's in Computer Science
University of Wavewood, Pune, Maharashtra
2015–2018
Experience
Senior Web Developer, Acme Solutions, Pune, Maharashtra | November 2020 to Present
Led a team of five junior developers in creating and updating web applications using JavaScript, PHP and React
Collaborated with UI/UX team to implement design changes, leading to a 7% increase in website traffic
Optimised website load times, improving overall site performance by 30%
Web Developer, ABC Tech Corporation, Bengaluru, Karnataka | November 2018 to October 2020
Developed and maintained responsive web pages using HTML, CSS and JavaScript, ensuring optimal user experience across various devices
Implemented server-side functionalities using PHP to create dynamic and interactive web pages
Collaborated with designers and project managers to understand requirements, translate them into technical specifications, and deliver web applications within deadlines
Performed thorough code testing and debugging to ensure web applications functioned flawlessly
Certifications
Certified Professional in Web Development, Wavewood Institute | October 2018
Skills
Expert in JavaScript, HTML, CSS and PHP
Proficient with Vue.js, React and AngularJS
Strong understanding of UI/UX design principles","Collaborate with designers, product managers, and other developers to understand project requirements and translate design concepts into functional web applications.
Write clean, efficient, and maintainable code using HTML, CSS, and JavaScript, ensuring compatibility and responsiveness across various browsers and devices.
Develop dynamic web applications using modern frontend frameworks (such as React, Vue, or Angular) to create interactive user interfaces.
Implement server-side logic and integrate backend functionalities using technologies like Node.js, Django, Ruby on Rails, or others.
Optimize web applications for speed, performance, and scalability, employing best practices for caching, asset optimization, and database management.
Collaborate with UX/UI designers to ensure seamless integration of design elements and interactions.
Participate in code reviews to ensure code quality, consistency, and adherence to coding standards.
Troubleshoot and debug issues in both frontend and backend code, and provide timely solutions to technical challenges.
Stay up-to-date with industry trends and emerging technologies to recommend improvements to the development process and tools.
Collaborate with the QA team to test and validate web applications for functionality, usability, and compatibility.
Maintain and update existing web applications with new features, enhancements, and improvements as required.
Monitor website performance, security, and accessibility, and address any issues that arise.
Assist in documenting technical specifications, user guides, and troubleshooting procedures.
Qualifications and Skills:
Bachelors degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).
Proven experience as a Web Developer with a portfolio showcasing web development projects.
Proficiency in frontend development languages and frameworks such as HTML, CSS, JavaScript, React, Vue, or Angular.
Familiarity with backend technologies like Node.js, Python (Django/Flask), Ruby on Rails, or similar.
Understanding of responsive design principles and mobile-first development.
Experience with version control systems (e.g., Git) and code collaboration platforms.
Strong problem-solving skills and the ability to debug and troubleshoot technical issues.
Knowledge of web performance optimization techniques and best practices.
Familiarity with database systems and proficiency in writing SQL queries.
Excellent communication skills and ability to work collaboratively in a team environment.
Detail-oriented mindset and commitment to producing high-quality code.
Ability to adapt to changing technologies and learn new tools quickly.
Role: Software Development - Other
Industry Type: Film / Music / Entertainment
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Computer scienceBackendVersion controlCodingWeb developmentJavascriptHTMLTroubleshootingInternshipPython",1
